ID|Empresa /Caso|industria_inferida|industria_general|industria_inferida_en|industria_general_en
qN5-v4NlKac|Cookpad|Tecnología / FoodTech social|Tecnología|Technology / Social Foodtech|Technology
JcHSFIZMYHc|CleverTap|Marketing / Engagement SaaS|Marketing|Marketing / Saas Engage|Marketing
CDCLwX2fo2g|Ztore|Retail / Ecommerce|Retail|Retail / ecommerce|Retail
OmVQ6pNDbaY|Solarwinds|Observabilidad TI / Monitoring|Tecnología|Observability IT / Monitoring|Technology
9-a9Y5THTYo|Vitesco Tecnologíanologies|Automotriz / Tecnología de movilidad eléctrica|Automotriz|Automotive / Electric Mobility Technology|Automotive
fppIOuRMI2g|Instructure|Educación / EdTech|Educación|Education / Edtech|Education
AzM_d7ZvzUE|Epsagon|Observabilidad / Serverless Monitoring|Tecnología|Observability / Serverless Monitoring|Technology
JYeXbUdFOdw|Noventiq|Tecnología / Search & Analytics|Tecnología|Technology / Search & Analytics|Technology
Eoq7E6jMtBs|Orangetheory Fitness|Fitness / Health Tech|Fitness|Fitness / Health Tech|Fitness
r3g1Nym-ebY|Volkswagen Financial Services|Finanzas / Automotriz|Finanzas|Finance / Automotive|Finance
ZsabzCVjkIk|Mikamai|Tecnología / Desarrollo Web|Tecnología|TECHNOLOGY / WEB DEVELOPMENT|Technology
l3f29v3IJGA|Arvind Internet|Tecnología / Ecommerce o SaaS|Tecnología|Technology / Ecommerce or SAAS|Technology
c-1GXhOOOww|Anchor Operating System: Building a Serverless Guest Sightseeing Journey Seamlessly|Tecnología|Tecnología|Technology|Technology
JVcKidzqpYY|Aramex: Leveraging AI ML to Enhance Customer Experience|Logistica|Logística y Transporte|Logistics|Logistics and transport
N0NBhnxez00|This is My Architecture: Analytics Customer Spotlight|Transformación Digital|Transformación Digital|Digital transformation|Consulting and Digital Transformation
OWLGK-eVrTw|Heimdall Data: Query Caching Without Code Changes|Tecnología|Tecnología|Technology|Technology
